GfKMapping,Start.Date,PERIOD,YEAR,MONTH,WEEK,QUARTER
10-Jan,27/12/2009,2/1/2010,2010,JAN,53,Q1
(5 weeks),3/1/2010,9/1/2010,2010,JAN,1,Q1
,10/1/2010,16/01/2010,2010,JAN,2,Q1
,17/01/2010,23/01/2010,2010,JAN,3,Q1
,24/01/2010,30/01/2010,2010,JAN,4,Q1
10-Feb,31/01/2010,6/2/2010,2010,FEB,5,Q1
(4 weeks),7/2/2010,13/02/2010,2010,FEB,6,Q1
,14/02/2010,20/02/2010,2010,FEB,7,Q1
,21/02/2010,27/02/2010,2010,FEB,8,Q1
10-Mar,28/02/2010,6/3/2010,2010,MAR,9,Q1
(4 weeks),7/3/2010,13/03/2010,2010,MAR,10,Q1
,14/03/2010,20/03/2010,2010,MAR,11,Q1
,21/03/2010,27/03/2010,2010,MAR,12,Q1
10-Apr,28/03/2010,3/4/2010,2010,APR,13,Q2
(4 weeks),4/4/2010,10/4/2010,2010,APR,14,Q2
,11/4/2010,17/04/2010,2010,APR,15,Q2
,18/04/2010,24/04/2010,2010,APR,16,Q2
10-May,25/04/2010,1/5/2010,2010,MAY,17,Q2
(5 weeks),2/5/2010,8/5/2010,2010,MAY,18,Q2
,9/5/2010,15/05/2010,2010,MAY,19,Q2
,16/05/2010,22/05/2010,2010,MAY,20,Q2
,23/05/2010,29/05/2010,2010,MAY,21,Q2
10-Jun,30/05/2010,5/6/2010,2010,JUN,22,Q2
(4 weeks),6/6/2010,12/6/2010,2010,JUN,23,Q2
,13/06/2010,19/06/2010,2010,JUN,24,Q2
,20/06/2010,26/06/2010,2010,JUN,25,Q2
10-Jul,27/06/2010,3/7/2010,2010,JUL,26,Q3
(5 weeks),4/7/2010,10/7/2010,2010,JUL,27,Q3
,11/7/2010,17/07/2010,2010,JUL,28,Q3
,18/07/2010,24/07/2010,2010,JUL,29,Q3
,25/07/2010,31/07/2010,2010,JUL,30,Q3
10-Aug,1/8/2010,7/8/2010,2010,AUG,31,Q3
(4 weeks),8/8/2010,14/08/2010,2010,AUG,32,Q3
,15/08/2010,21/08/2010,2010,AUG,33,Q3
,22/08/2010,28/08/2010,2010,AUG,34,Q3
10-Sep,29/08/2010,4/9/2010,2010,SEP,35,Q3
(4 weeks),5/9/2010,11/9/2010,2010,SEP,36,Q3
,12/9/2010,18/09/2010,2010,SEP,37,Q3
,19/09/2010,25/09/2010,2010,SEP,38,Q3
